0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:21 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:21 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:21 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:21 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:34 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:34 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:34 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:34 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:34 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:35 -0600] "GET /ngTodo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:35 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:36 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:36 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:36 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:36 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:36 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:38 -0600] "GET /ngTodo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:38 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:39 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:39 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:39 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:39 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:39 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:40 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:40 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:40 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:40 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:04:40 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:05:33 -0600] "GET /ngTodo/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:05:33 -0600] "GET /ngTodo/app/appModule/todo.service.js HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:05:33 -0600] "GET /ngTodo/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:05:33 -0600] "GET /ngTodo/app/appModule/todoList.component.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2017:09:05:33 -0600] "GET /ngTodo/app/appModule/todoList.component.html HTTP/1.1" 200 1779
